comment_id,video_id,author,author_channel_url,published_at,updated_at,is_edited,like_count,text
UgwJttILF6fuRmlnL6t4AaABAg,6Ezl5T_rH_c,@TheIrishGuyExtra,http://www.youtube.com/@TheIrishGuyExtra,2026-09-04T17:15:30Z,2026-09-04T17:15:56Z,True,31,"Still put the predictions in the comment section here, lads - you can just check out the table standings here: https://avibomb.github.io/premier-league-predictions-tracker/dashboard.html"
UgxVpK9wIcze2L-3a4N4AaABAg,6Ezl5T_rH_c,@SmokeAsh0604,http://www.youtube.com/@SmokeAsh0604,2026-09-05T16:17:37Z,2026-09-05T16:19:59Z,True,0,Man City 1-0 Coventry. Guessing that will be the forfeit to be wiped off
Ugy8pu_0akQGxGeC34d4AaABAg,6Ezl5T_rH_c,@boxnews842,http://www.youtube.com/@boxnews842,2026-09-05T16:12:30Z,2026-09-05T16:12:30Z,False,0,Coventry hates Susan today😂
UgzJJQ_kQ4hrRUMlyYt4AaABAg,6Ezl5T_rH_c,@TheT8,http://www.youtube.com/@TheT8,2026-09-05T16:04:01Z,2026-09-05T16:04:01Z,False,3,Cant wait to see the 100 eggs and hugs for strangers now 😂😂
UgzdkwygyRII1svs3Q94AaABAg,6Ezl5T_rH_c,@MrUltrAdaman,http://www.youtube.com/@MrUltrAdaman,2026-09-05T15:57:28Z,2026-09-05T15:57:28Z,False,0,Better go egg shopping boss
Ugwgi5N_tTpFg42bVjJ4AaABAg,6Ezl5T_rH_c,@connor4435,http://www.youtube.com/@connor4435,2026-09-05T15:56:31Z,2026-09-05T15:56:31Z,False,0,"City 1-0 Cov, bet you regret amping up the risk now"
UgwVhvHPnKbkx-LXn9V4AaABAg,6Ezl5T_rH_c,@glewis9546,http://www.youtube.com/@glewis9546,2026-09-05T15:54:55Z,2026-09-05T15:54:55Z,False,2,COVENTRY ONLY LOST BY 1!!!
Ugy613PTm30apYU-J014AaABAg,6Ezl5T_rH_c,@josephogbuehi1571,http://www.youtube.com/@josephogbuehi1571,2026-09-05T15:54:53Z,2026-09-05T15:54:53Z,False,1,I’m here after the man city match you better hope you get a prediction bang on
Ugx9dimEqK6f-1i1n6R4AaABAg,6Ezl5T_rH_c,@XxXKieran,http://www.youtube.com/@XxXKieran,2026-09-05T15:54:32Z,2026-09-05T15:54:32Z,False,4,Get those eggs ready. 🤣
Ugy55tI0vDCaBtsu9H14AaABAg,6Ezl5T_rH_c,@idkkkkkkkk_,http://www.youtube.com/@idkkkkkkkk_,2026-09-05T15:09:04Z,2026-09-05T15:09:04Z,False,0,forgot this week 😢
