Rank,Author,Channel_URL,Gameweeks_Played,Total_Matches_Predicted,Total_Exact_Scores (3pts),Total_Outcome_Scores (1pt),Total_Season_Points
1,@snash8831,http://www.youtube.com/@snash8831,5,50,10,14,44
2,@Ja23Bi,http://www.youtube.com/@Ja23Bi,4,40,8,12,36
3,@spongeguybridankia8735,http://www.youtube.com/@spongeguybridankia8735,5,50,6,16,34
4,@IvoTheGhouI,http://www.youtube.com/@IvoTheGhouI,4,39,6,14,32
5,@ChrisS-051,http://www.youtube.com/@ChrisS-051,5,47,5,17,32
6,@RyanH2005,http://www.youtube.com/@RyanH2005,5,50,5,17,32
7,@psykosis_the_amatuer_animator,http://www.youtube.com/@psykosis_the_amatuer_animator,4,40,6,13,31
8,@richardparker9556,http://www.youtube.com/@richardparker9556,4,40,6,13,31
9,@JuniorG107,http://www.youtube.com/@JuniorG107,4,40,6,13,31
10,@leejohnmwadime3205,http://www.youtube.com/@leejohnmwadime3205,4,39,5,16,31
11,@cologga,http://www.youtube.com/@cologga,5,50,4,19,31
12,@ElecTrick11037,http://www.youtube.com/@ElecTrick11037,5,50,4,19,31
13,@balinthejner465,http://www.youtube.com/@balinthejner465,4,39,6,12,30
14,@LieutenantPulp,http://www.youtube.com/@LieutenantPulp,4,40,5,15,30
15,@channelname9468,http://www.youtube.com/@channelname9468,5,48,3,21,30
16,@jjbingham123,http://www.youtube.com/@jjbingham123,4,38,6,11,29
17,@thvo5835,http://www.youtube.com/@thvo5835,4,40,6,11,29
18,@kylere2k9,http://www.youtube.com/@kylere2k9,4,38,6,11,29
19,@nickaxford7925,http://www.youtube.com/@nickaxford7925,4,40,6,11,29
20,@Kam08-r5u,http://www.youtube.com/@Kam08-r5u,5,49,6,11,29
21,@dylanparker130,http://www.youtube.com/@dylanparker130,4,40,5,14,29
22,@MZAce,http://www.youtube.com/@MZAce,4,40,5,14,29
23,@Rambo11500,http://www.youtube.com/@Rambo11500,4,38,5,14,29
24,@ConnorPenfold,http://www.youtube.com/@ConnorPenfold,4,40,5,14,29
25,@Anotherjuan0,http://www.youtube.com/@Anotherjuan0,4,40,4,17,29
26,@anmaroud9813,http://www.youtube.com/@anmaroud9813,4,39,4,17,29
27,@willrelf92,http://www.youtube.com/@willrelf92,5,50,4,17,29
28,@KABulletsFootballingChannel,http://www.youtube.com/@KABulletsFootballingChannel,4,40,6,10,28
29,@Drewaldrich1996,http://www.youtube.com/@Drewaldrich1996,5,50,5,13,28
30,@elias6126,http://www.youtube.com/@elias6126,5,49,4,16,28
31,@hopjoshkins,http://www.youtube.com/@hopjoshkins,4,40,4,16,28
32,@Pando1773,http://www.youtube.com/@Pando1773,4,40,5,12,27
33,@Knowledge5eeker,http://www.youtube.com/@Knowledge5eeker,4,40,5,12,27
34,@theinformer499,http://www.youtube.com/@theinformer499,3,30,5,12,27
35,@BenjaminLass,http://www.youtube.com/@BenjaminLass,4,39,4,15,27
36,@thubelihlembonane2674,http://www.youtube.com/@thubelihlembonane2674,4,39,4,15,27
37,@leomccarron9133,http://www.youtube.com/@leomccarron9133,4,38,3,18,27
38,@jackdenham927,http://www.youtube.com/@jackdenham927,3,30,6,8,26
39,@lucio534,http://www.youtube.com/@lucio534,3,29,6,8,26
40,@Prod.Dizzy0nz,http://www.youtube.com/@Prod.Dizzy0nz,4,40,5,11,26
41,@u_s_man9610,http://www.youtube.com/@u_s_man9610,4,40,4,14,26
42,@SportsCardsCenter,http://www.youtube.com/@SportsCardsCenter,5,50,4,14,26
43,@hawaadeyeye9930,http://www.youtube.com/@hawaadeyeye9930,4,40,4,14,26
44,@jonathanbnice6816,http://www.youtube.com/@jonathanbnice6816,4,40,4,14,26
45,@_simon.k_,http://www.youtube.com/@_simon.k_,4,38,4,14,26
46,@godofthegreatkurultaj4302,http://www.youtube.com/@godofthegreatkurultaj4302,3,29,6,7,25
47,@mikhailurmich,http://www.youtube.com/@mikhailurmich,4,32,6,7,25
48,@andyw8025,http://www.youtube.com/@andyw8025,4,39,5,10,25
49,@idkkkkkkkk_,http://www.youtube.com/@idkkkkkkkk_,4,39,5,10,25
50,@dwumasarpong5996,http://www.youtube.com/@dwumasarpong5996,4,37,5,10,25
51,@agustinriestra9594,http://www.youtube.com/@agustinriestra9594,3,29,5,10,25
52,@EuanHaldane,http://www.youtube.com/@EuanHaldane,4,39,5,10,25
53,@faisalaldahlawi6560,http://www.youtube.com/@faisalaldahlawi6560,4,37,5,10,25
54,@Darko_Milosevski03,http://www.youtube.com/@Darko_Milosevski03,4,40,5,10,25
55,@Innndo,http://www.youtube.com/@Innndo,3,30,5,10,25
56,@nickpro2899,http://www.youtube.com/@nickpro2899,4,38,4,13,25
57,@ammar56604,http://www.youtube.com/@ammar56604,4,40,4,13,25
58,@neilmandimika6142,http://www.youtube.com/@neilmandimika6142,4,39,4,13,25
59,@ghjn5640,http://www.youtube.com/@ghjn5640,5,50,3,16,25
60,@haamid4,http://www.youtube.com/@haamid4,3,30,5,9,24
61,@ThatOneLutonFan,http://www.youtube.com/@ThatOneLutonFan,4,38,5,9,24
62,@Buschmumie,http://www.youtube.com/@Buschmumie,3,30,5,9,24
63,@xpertassassin8178,http://www.youtube.com/@xpertassassin8178,4,40,5,9,24
64,@aryanomsharma07,http://www.youtube.com/@aryanomsharma07,3,30,5,9,24
65,@rohailmahmood3847,http://www.youtube.com/@rohailmahmood3847,5,47,4,12,24
66,@briantran6145,http://www.youtube.com/@briantran6145,4,40,4,12,24
67,@Jake_T05,http://www.youtube.com/@Jake_T05,4,39,4,12,24
68,@Speedinkling,http://www.youtube.com/@Speedinkling,4,37,3,15,24
